Parasitized,113.0,15160.0,0,0,0,
Parasitized,163.5,18954.0,0,0,0,
Parasitized,85.0,29.5,15201.0,0,0,
Parasitized,46.0,196.0,13745.0,0,0,
Parasitized,13593.0,0,0,0,0,
Parasitized,43.5,106.0,16505.0,0,0,
Parasitized,101.5,13635.5,0,0,0,
Parasitized,118.5,13150.5,0,0,0,
Parasitized,81.5,12485.0,0,0,0,
Parasitized,135.5,12604.0,0,0,0,
Parasitized,33.5,172.5,16174.0,0,0,
Parasitized,164.0,13594.5,0,0,0,
Parasitized,132.5,14083.5,0,0,0,
Parasitized,133.5,13290.5,0,0,0,
Parasitized,14826.0,0,0,0,0,
Parasitized,29.5,158.5,11376.5,0,0,
Parasitized,443.0,288.0,201.5,9096.0,0,
Parasitized,156.0,13696.5,0,0,0,
Parasitized,140.0,16382.5,0,0,0,
Parasitized,73.5,15019.5,0,0,0,
Parasitized,164.0,13617.0,0,0,0,
Parasitized,0.0,0.0,105.0,10245.0,0,
Parasitized,8259.0,0,0,0,0,
Parasitized,100.0,13300.0,0,0,0,
Parasitized,37.5,12891.0,0,0,0,
Parasitized,104.5,11926.5,0,0,0,
Parasitized,280.5,31.0,4670.0,0,0,
Parasitized,141.5,13529.5,0,0,0,
Parasitized,114.0,133.5,10801.0,0,0,
Parasitized,2.0,139.5,9219.5,0,0,
Parasitized,175.5,16026.0,0,0,0,
Parasitized,125.0,10701.0,0,0,0,
Parasitized,156.0,12308.5,0,0,0,
Parasitized,135.5,11744.0,0,0,0,
Parasitized,95.5,12745.0,0,0,0,
Parasitized,134.0,14850.5,0,0,0,
Parasitized,2.0,2.0,366.5,9118.5,0,
Parasitized,188.0,8093.0,0,0,0,
Parasitized,183.5,17721.5,0,0,0,
Parasitized,129.5,16121.0,0,0,0,
Parasitized,98.0,14886.0,0,0,0,
Parasitized,93.5,15.0,11668.5,0,0,
Parasitized,85.5,13915.0,0,0,0,
Parasitized,175.0,9918.0,0,0,0,
Parasitized,17.5,85.5,14132.5,0,0,
Parasitized,116.0,12706.5,0,0,0,
Parasitized,5.5,11543.5,0,0,0,
Parasitized,108.5,13285.5,0,0,0,
Parasitized,52.5,10661.5,0,0,0,
Parasitized,355.5,9556.0,0,0,0,
Parasitized,16520.0,0,0,0,0,
Parasitized,26.5,13099.0,0,0,0,
Parasitized,209.0,12235.0,0,0,0,
Parasitized,26.0,127.0,13800.0,0,0,
Parasitized,139.5,12496.0,0,0,0,
Parasitized,92.0,60.5,14334.0,0,0,
